Date,Temperature moyenne (°C),Precipitation (mm),Humidite moyenne (%)
2016-07-30,24.5105,0.2,69.47265
2016-07-31,24.506332,0.0,68.89105
2016-08-01,24.981337,0.0,67.98788
2016-08-02,24.652168,0.0,70.21433
2016-08-03,25.200079,0.0,69.583595
2016-08-04,25.80633,0.0,66.63915
2016-08-05,25.525084,0.0,63.560024
2016-08-06,26.081331,0.0,64.796425
2016-08-07,30.127167,0.0,48.20541
2016-08-08,30.597994,0.0,37.905388
2016-08-09,28.081335,0.0,50.75545
2016-08-10,25.687582,0.0,58.569866
2016-08-11,25.593836,0.0,66.58409
2016-08-12,27.297997,0.0,55.420856
2016-08-13,27.343834,0.0,59.098995
2016-08-14,28.7855,0.2,55.905926
2016-08-15,28.664665,0.0,51.45543
2016-08-16,29.385504,0.2,45.424152
2016-08-17,25.323004,0.0,66.84417
2016-08-18,24.027166,0.0,70.29134
2016-08-19,23.57717,0.0,70.620476
2016-08-20,23.912582,0.0,75.45238
2016-08-21,25.033417,0.0,66.87482
2016-08-22,27.787582,0.0,57.076366
2016-08-23,27.585497,0.0,64.84751
2016-08-24,26.66675,0.0,69.63597
2016-08-25,26.514666,0.0,71.48557
2016-08-26,27.856333,0.0,66.81051
2016-08-27,28.918833,0.5,58.23785
2016-08-28,28.018831,0.0,63.277283
2016-08-29,27.020918,0.0,59.936405
2016-08-30,24.787582,0.0,66.34494
2016-08-31,22.352163,0.0,73.18966
2016-09-01,23.470911,0.0,71.27892
2016-09-02,26.312582,0.7,65.74019
2016-09-03,27.720917,0.0,64.9906
2016-09-04,28.027166,0.0,59.743668
2016-09-05,28.727165,0.0,57.0793
2016-09-06,28.81675,0.0,56.931934
2016-09-07,26.07508,0.0,69.19077
2016-09-08,23.920916,0.0,74.11169
2016-09-09,22.600082,0.0,73.14129
2016-09-10,22.260498,0.0,71.46337
2016-09-11,23.389664,0.0,72.23007
2016-09-12,22.366745,0.0,76.38076
2016-09-13,21.750082,0.3,71.83478
2016-09-14,20.2855,0.0,61.696716
2016-09-15,18.814665,0.0,68.37897
